f_id,f_name,f_pro
f375,user_sku_buy_ratio,164
f384,user_sku_user_cart_ratio,95
f381,user_sku_user_buy_ratio,44
f374,user_sku_view_ratio,41
f312,user_cart_ratio,36
f308,user_view_ratio,35
f304,user_buy_day,31
f378,user_sku_cart_ratio,31
f234,14_user_view_amt,30
f351,sku_buy/remark,26
f281,14_user_sku_user_buy_ratio,26
f369,user_sku_view_day,24
f344,sku_view_ratio,23
f386,user_sku_last_hour,18
f229,14_user_if_buy,17
f268,14_user_sku_view_amt,17
f317,user_first_hour,17
f318,user_last_hour,16
f316,user_buy/cart,16
f352,sku_buy/cart,16
f267,14_user_sku_action_amt,16
f307,user_cart_day,15
f363,user_sku_view_amt,15
f322,product_reg_day,14
f298,user_buy_amt,14
f314,user_buy/follow,14
f291,county,13
f326,fans_num,13
f347,sku_remark_ratio,13
f148,3_user_sku_if_view,12
f320,brand,12
f330,shop_reg_month,12
f358,user_sku_if_buy,11
f328,shop_cate,11
f258,14_sku_buy_day,11
f120,3_user_view_amt,11
f280,14_user_sku_user_view_ratio,11
f315,user_buy/remark,10
f385,user_sku_first_hour,10
f350,sku_buy/follow,10
f353,sku_rebuy_rate,10
f361,user_sku_if_cart,9
f263,14_user_sku_if_buy,9
f250,14_sku_action_amt,9
f211,7_user_sku_view_amt,8
f301,user_cart_amt,8
f233,14_user_action_amt,8
f292,user_reg_day,8
f334,sku_buy_amt,7
f289,province,7
f337,sku_cart_amt,7
f333,sku_view_amt,7
f311,user_remark_ratio,7
f321,cate,6
f290,city,6
f327,vip_num,6
f285,age,6
f348,sku_cart_ratio,6
f223,7_user_sku_user_view_ratio,6
f62,2_user_action_amt,5
f166,3_user_sku_user_view_ratio,5
f235,14_user_buy_amt,5
f379,user_sku_user_action_ratio,5
f109,2_user_sku_user_view_ratio,5
f81,2_sku_buy_amt,5
f340,sku_buy_day,5
f297,user_view_amt,4
f108,2_user_sku_user_action_ratio,4
f367,user_sku_cart_amt,4
f177,7_user_view_amt,4
f343,sku_cart_day,4
f364,user_sku_buy_amt,4
f252,14_sku_buy_amt,4
f380,user_sku_user_view_ratio,4
f341,sku_follow_day,4
f172,7_user_if_buy,4
f274,14_user_sku_view_day,4
f195,7_sku_buy_amt,4
f349,sku_buy/view,4
f300,user_remark_amt,4
f346,sku_follow_ratio,3
f259,14_sku_follow_day,3
f309,user_buy_ratio,3
f342,sku_remark_day,3
f345,sku_buy_ratio,3
f303,user_view_day,3
f302,user_active_day,3
f138,3_sku_buy_amt,3
f153,3_user_sku_action_amt,3
f356,sku_last_amt,3
f202,7_sku_follow_day,3
f332,sku_action_amt,3
f253,14_sku_follow_amt,3
f355,sku_last_hour,3
f75,2_sku_if_buy,3
f216,7_user_sku_action_day,2
f203,7_sku_remark_day,2
f190,7_sku_if_follow,2
f91,2_user_sku_if_view,2
f196,7_sku_follow_amt,2
f167,3_user_sku_user_buy_ratio,2
f313,user_buy/view,2
f83,2_sku_remark_amt,2
f319,user_last_amt,2
f257,14_sku_view_day,2
f136,3_sku_action_amt,2
f80,2_sku_view_amt,2
f119,3_user_action_amt,2
f296,user_action_amt,2
f387,user_sku_last_amt,1
f193,7_sku_action_amt,1
f183,7_user_view_day,1
f293,user_reg_month,1
f144,3_sku_buy_day,1
f239,14_user_active_day,1
f354,sku_first_hour,1
f336,sku_remark_amt,1
f275,14_user_sku_buy_day,1
f63,2_user_view_amt,1
f154,3_user_sku_view_amt,1
f241,14_user_buy_day,1
f273,14_user_sku_action_day,1
f222,7_user_sku_user_action_ratio,1
f269,14_user_sku_buy_amt,1
f335,sku_follow_amt,1
f323,product_reg_month,1
f370,user_sku_buy_day,1
f338,sku_active_day,1
f160,3_user_sku_view_day,1
f251,14_sku_view_amt,1
f178,7_user_buy_amt,1
f288,city_level,1
f339,sku_view_day,1
f184,7_user_buy_day,1
f279,14_user_sku_user_action_ratio,1
